"","segment","last_PM","cost_visit","cost_visit_last","part_last","cost_last_parts"
"93","Mid",550,18315.0651666667,4599.609,7,2449.609
"94","Mid",570,6677.2346875,3220.07583333333,3,2033.25
"95","Mid",600,6194.7115,9958.062,80,7179.562
"96","High",1,0,0,0,25.1125
"97","High",10,1435.3515,1716.815,4,1914.865
"98","High",20,1182.35,1578.25,4,1357.402
"99","High",30,1587.48766666667,1801.345,5,1449.75
"100","High",40,1597.1783,1831.84,5,1821.14
"101","High",60,2661.42883333333,3477.5,5,1933.41
"102","High",70,2630.57207142857,3215.885,5,2065.885
"103","High",80,4266.02758333333,7140.72525,20.5,5285.9235
"104","High",90,4531.623875,4863.9525,8.5,2785.6435
"105","High",100,4507.33933333334,4728.931875,7,2976.8185
"106","High",110,4263.843,3743.93,5,2373.347
"107","High",120,5211.2745,6929.427,19,5077.227
"108","High",130,5227.19966666667,3601.3525,5,2054.76125
"109","High",140,4403.9809,4253.3035,7,2510.5735
"110","High",150,4403.9811547619,4008.862,6.5,2688.612
"111","High",160,6116.013,7631.454,24,5849.454
"112","High",170,9275.37525,8109.9045,16.5,6159.9045
"113","High",180,5245.54125,4199.75,7,2583.57
"114","High",190,4897.818,3808.986,7,2458.84
"115","High",200,7833.06429166667,8152.33,47,5886.33
"116","High",210,5981.407,3753.56,6.5,2403.56
"117","High",220,7790.1564,11102.9085,11.5,7026.3935
"118","High",230,3627.54439772728,3506.1225,5.75,2193.215
"119","High",240,11313.1278333333,10711.7165,79,7716.9665
"120","High",250,8429.995,6283.04,12,4688.04
"121","High",260,6957.996,7646.113,9,4874.113
"122","High",270,7684.12475,3413.3,7,1913.3
"123","High",290,7718.16374285714,7257.6495,7.5,5213.8995
"124","High",300,6132.83875,4601.1605,9,2419.29
"125","High",310,4122.389,4675.686,5,3181.386
"126","High",320,8478.91183333334,5317.70383333333,23.5,5032.023
"127","High",330,5423.3485,3356.59,6,2156.59
"128","High",340,4859.405,4859.405,7,3544.985
"129","High",350,5403.60878333333,3576.87625,6,1840.06
"130","High",370,5284.92022222222,3009.803,5,1859.803
"131","High",390,3352.1495,3344.927,7,2194.927
"132","High",410,8135.55775,8135.55775,26,3486.58
"133","High",460,7708.78646666667,11415.9726666667,17.6666666666667,18808.868
"134","High",560,10358.0766363636,11370.6225,92,9298.064
